time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),recent_cases_in_cluster_central,recent_cases_in_cluster_east,recent_cases_in_cluster_north,recent_cases_in_cluster_north-east,recent_cases_in_cluster_west,google_trends
2019-12-29,302,0.003,0.423,0.343,0.231,27.542857142857144,11.314285714285717,0.3999999999999999,31.7,37.1,24.7,17.0,27.0,16.0,94.0,71.0,29
2020-01-05,342,0.089,0.397,0.467,0.048,27.814285714285717,12.12857142857143,0.0,32.2,43.2,25.1,28.0,38.0,23.0,110.0,77.0,37
2020-01-12,402,0.089,0.397,0.467,0.048,27.15714285714285,9.828571428571427,2.6,32.3,40.7,23.8,42.0,43.0,21.0,154.0,98.0,42
2020-01-19,307,0.089,0.397,0.467,0.048,27.97142857142857,12.171428571428573,0.0,32.8,36.7,24.6,45.0,35.0,19.0,157.0,80.0,32
2020-01-26,370,0.089,0.397,0.467,0.048,27.97142857142857,13.585714285714284,2.0285714285714285,32.8,38.5,24.3,54.0,36.0,32.0,185.0,73.0,34
2020-02-02,400,0.177,0.269,0.474,0.081,27.9,12.94285714285714,8.0,32.6,40.3,23.8,68.0,26.0,35.0,167.0,85.0,29
2020-02-09,378,0.177,0.269,0.474,0.081,27.61428571428572,11.728571428571428,2.085714285714286,32.3,41.0,23.7,63.0,21.0,28.0,161.0,98.0,49
2020-02-16,380,0.177,0.269,0.474,0.081,27.87142857142857,10.228571428571428,3.4,32.8,35.3,24.2,54.0,31.0,24.0,162.0,117.0,53
2020-02-23,373,0.177,0.269,0.474,0.081,27.82857142857143,14.3,3.142857142857143,33.1,46.4,24.1,68.0,28.0,19.0,173.0,142.0,38
2020-03-01,375,0.134,0.316,0.43,0.12,28.085714285714285,13.928571428571429,0.6571428571428571,32.7,45.7,25.1,69.0,26.0,10.0,163.0,131.0,39
2020-03-08,389,0.134,0.316,0.43,0.12,28.27142857142857,10.085714285714284,5.714285714285714,33.9,36.7,24.3,75.0,36.0,14.0,141.0,127.0,36
2020-03-15,367,0.134,0.316,0.43,0.12,29.0,11.0,0.0,34.0,39.6,25.2,94.0,34.0,16.0,140.0,133.0,34
2020-03-22,377,0.134,0.316,0.43,0.12,28.47142857142857,11.328571428571427,6.971428571428571,33.7,44.6,24.4,88.0,22.0,17.0,126.0,133.0,42
2020-03-29,315,0.134,0.316,0.43,0.12,28.6,9.971428571428572,2.857142857142857,33.6,37.1,24.1,93.0,23.0,26.0,124.0,109.0,32
2020-04-05,341,0.06,0.393,0.426,0.121,29.12857142857143,9.771428571428572,8.142857142857142,34.6,42.6,24.0,102.0,30.0,31.0,115.0,85.0,30
2020-04-12,360,0.06,0.393,0.426,0.121,28.52857142857143,8.285714285714286,3.942857142857143,33.2,37.0,23.8,114.0,32.0,28.0,117.0,70.0,28
2020-04-19,399,0.06,0.393,0.426,0.121,29.585714285714285,10.014285714285716,0.0,33.9,37.0,26.4,138.0,42.0,28.0,101.0,58.0,41
2020-04-26,390,0.06,0.393,0.426,0.121,28.857142857142858,7.714285714285714,1.5714285714285714,34.3,33.3,25.1,181.0,52.0,31.0,116.0,60.0,35
2020-05-03,502,0.054,0.534,0.294,0.118,27.8,5.828571428571428,16.54285714285714,33.1,35.2,24.4,178.0,53.0,36.0,124.0,62.0,38
2020-05-10,524,0.054,0.534,0.294,0.118,29.0,7.8,15.028571428571428,34.5,42.6,23.6,192.0,57.0,31.0,127.0,59.0,48
2020-05-17,618,0.054,0.534,0.294,0.118,29.12857142857143,9.128571428571428,10.285714285714286,32.8,46.3,24.6,283.0,77.0,35.0,174.0,67.0,45
2020-05-24,731,0.054,0.534,0.294,0.118,28.857142857142858,6.171428571428572,4.542857142857143,34.0,33.3,24.9,332.0,79.0,41.0,187.0,59.0,46
2020-05-31,868,0.054,0.534,0.294,0.118,29.17142857142857,7.242857142857142,3.314285714285714,33.5,37.0,23.8,443.0,88.0,49.0,198.0,54.0,61
